M,N,mb,resident,naive_gbps,torch_gbps,naive_pct,torch_pct,ratio,peak_gbps
1024,1024,2.1,L2,174.1,364.5,4.5,9.4,2.094,3880.0
16384,1024,33.6,L2,1502.6,1794.1,38.7,46.2,1.194,3880.0
32768,1024,67.1,L2,1929.0,2269.7,49.7,58.5,1.177,3880.0
49152,1024,100.7,L2,2268.2,2461.6,58.5,63.4,1.085,3880.0
65536,1024,134.2,L2,2628.8,2716.8,67.8,70.0,1.033,3880.0
98304,1024,201.3,L2,2388.4,2160.6,61.6,55.7,0.905,3880.0
131072,1024,268.4,HBM,2385.5,2144.5,61.5,55.3,0.899,3880.0
196608,1024,402.7,HBM,2388.4,2160.2,61.6,55.7,0.904,3880.0
262144,512,268.4,HBM,1925.7,2091.6,49.6,53.9,1.086,3880.0
524288,512,536.9,HBM,1940.7,2056.9,50.0,53.0,1.06,3880.0
1048576,512,1073.7,HBM,1924.5,2035.5,49.6,52.5,1.058,3880.0
2097152,512,2147.5,HBM,1949.0,2019.6,50.2,52.1,1.036,3880.0
